study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_CRCNS_HC1,0.17342316413497022,0.20879628380029305,0.3327842262582521,0.0021526091715277753,1.9143800434743474,-0.20282371576100897
PAIRED_ENGLISH,0.20644810198015057,0.2540780054508687,0.17281343185440368,0.036698582731362915,0.6795975604116273,0.06873633113398725
PAIRED_KAMPFF,0.06390378404595512,0.09945791531808305,0.7393700606380859,0.0019367342364033033,1.737521622925851,-0.09623576557384463
PAIRED_MEA64C_YGER,0.0997376918244681,0.12142864427365563,-0.3046012616346325,0.030510906548697814,0.4325111766567984,0.04181787066696887
