study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.07049764793324967,0.0931619205074861,-0.09431823945618811,-0.06911837713844299,1.118802520213666,0.06002004043553856
PAIRED_CRCNS_HC1,0.23566276369350528,0.2949547859678882,0.055142727225168,-0.15236430095223022,1.5505960992817829,0.054213409692684886
PAIRED_ENGLISH,0.1188833542714145,0.15221907616678892,0.44017599229916604,0.011567441473304352,1.9366242338494966,-0.19451458375992212
PAIRED_KAMPFF,0.09873217436129335,0.1294701522146028,0.6865574992871162,-0.0006015249924811635,1.9952720131500228,-0.18956959506565838
PAIRED_MEA64C_YGER,0.06852951466386599,0.10674571158379273,0.37226794493278514,0.004114763623950756,1.351317014781543,-0.043614119852599866
