recipe_id,label,study_set,row_count,mae,rmse,r2,bias
fmiss_reduced_latent,Reduced-latent context,PAIRED_BOYDEN,21,0.1163334074029915,0.1543828070536384,0.665513825631523,-0.0634870681461282
fmiss_reduced_latent,Reduced-latent context,PAIRED_CRCNS_HC1,9,0.1415258361522607,0.2013595418471525,-0.5178796658208729,0.013958551937436
fmiss_reduced_latent,Reduced-latent context,PAIRED_ENGLISH,44,0.2340091953957678,0.2872840724931829,0.1357247284067329,-0.0960374634172501
fmiss_reduced_latent,Reduced-latent context,PAIRED_KAMPFF,6,0.2349024472869074,0.2734351708842885,-14.14200823131267,0.2320114179550479
fmiss_reduced_latent,Reduced-latent context,PAIRED_MEA64C_YGER,20,0.0885985319595298,0.1196173559906865,0.8168125544267589,0.0066457972522182
