feature_group,mean_abs_shap,std_abs_shap,run_count,mean_feature_count,rank
recording_context,1.3269040468070648,0.1993340026164974,100,493.8,1
acg,0.7251929962457387,0.2108033335801784,100,40.0,2
spikeinterface_qc,0.5579403871317397,0.1010280062696891,100,19.8,3
source_transfer,0.5032154164382312,0.219293265747586,100,4.0,4
waveform,0.2340614927951944,0.0846491623442397,100,57.4,5
other,0.1813721828548107,0.0344947299376052,100,27.8,6
amplitude,0.1718758160570417,0.0430151273110541,100,21.0,7
