study_set,recipe_id,label,r2,mae,seed_count,r2_std,mae_std
PAIRED_BOYDEN,fpos_waveform_winner,Waveform-augmented structure,0.1379733842148397,0.0820648381905657,20,0.0536260289729538,0.003492954819131
PAIRED_CRCNS_HC1,fpos_waveform_winner,Waveform-augmented structure,0.4275923287150074,0.1871897110628179,20,0.0416700560150896,0.0070163678499653
PAIRED_ENGLISH,fpos_waveform_winner,Waveform-augmented structure,0.3774252161234454,0.1676853751658482,20,0.0301973544981908,0.0046676202076401
PAIRED_KAMPFF,fpos_waveform_winner,Waveform-augmented structure,0.7124856203631504,0.0911132626220855,20,0.0359208259655702,0.0089193308889551
PAIRED_MEA64C_YGER,fpos_waveform_winner,Waveform-augmented structure,0.3321424764370461,0.071282893620574,20,0.1091215307226192,0.0066291065394761
