study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.04057691361601587,0.056628337610618175,0.5956714601608637,-0.026377319320663138,0.7669362973791509,0.054187589458061035
PAIRED_CRCNS_HC1,0.1902124696418299,0.2573041859519645,0.28927958193781844,-0.15389642894206848,1.313129825500884,0.09369717871410513
PAIRED_ENGLISH,0.1641472401455189,0.22127955310651165,0.2819623430593454,-0.09760605772843574,1.5163045356562248,-0.051493105009885
PAIRED_MEA64C_YGER,0.08281238091114126,0.1378815935986046,0.1830957598102556,-0.007240763655898994,0.7575413305946014,0.03708032150479547
