study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.06166027159959401,0.07659159260164673,0.26034538319490874,0.014662938717948503,0.5619415567790781,0.05558631097525909
PAIRED_CRCNS_HC1,0.3698353071071183,0.40839099244078103,-1.5445374929631792,-0.3698353071071183,1.5126800942133685,0.24556910970920945
PAIRED_ENGLISH,0.17845736506780568,0.22081069190441738,0.3014938719060877,-0.03899072383959736,1.1108387708851424,0.007613956481180309
PAIRED_KAMPFF,0.05928663273953561,0.12457865752563706,0.6647422380714432,-0.05745856269806037,2.020811621898982,-0.0163868684397733
PAIRED_MEA64C_YGER,0.12825819299301117,0.15309880612116292,-0.08193414845316549,0.0688060066157741,0.6248885254571961,-0.0018130949305754317
