study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.0463649328125519,0.05769133803482795,0.25452185425997986,-0.03317005573203872,0.7314360565466432,0.050229941432801614
PAIRED_CRCNS_HC1,0.2699946872301088,0.31373147470277224,-0.5651854530608098,-0.2565091766743586,0.9155158663431591,0.28328586727671795
PAIRED_ENGLISH,0.12501640221752988,0.17964861418175557,0.4761181722939404,-0.03186430862260921,1.1760667110068146,-0.011502464122051328
PAIRED_KAMPFF,0.06218703015376851,0.10761004676081488,0.6948936550697566,-0.021084397569258354,1.801530541129653,-0.06294663186482433
PAIRED_MEA64C_YGER,0.07525745182018619,0.13257620450732788,0.028003297886930345,-0.019097615853789836,0.5390836741768692,0.06559997518775873
