label,recipe_id,mae,rmse,r2,bias,calibration_slope,notes,protocol,phase,split_id,protocol_mode,candidate_id,target,source_target,feature_view,model_family,model_name,is_ceiling_model,source_label_rows,target_label_rows,target_eval_rows,target_unlabeled_rows,used_unlabeled_paired,calibration_intercept,variant_id,family,backend
Hybrid-only XGBoost,fmiss_hybrid_only,0.3161607680054178,0.422134791481719,-1.1238773196148455,0.2310621514276042,0.3580257614427868,Pure source failure baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_only|xgboost|unit_raw,fmiss,fmiss_extended,unit_raw,hybrid_only,xgboost,False,24211.0,107.0,100.0,0.0,False,0.0954357300573001,,,
Calibrated hybrid,fmiss_hybrid_calibrated,0.2201194919649801,0.2637715949905875,0.1707543851938151,-0.0004852419517277,1.4241829511681847,Simple calibrated transfer,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_calibrated|lightgbm+linear|unit_raw,fmiss,fmiss_extended,unit_raw,hybrid_calibrated,lightgbm+linear,False,24211.0,107.0,100.0,0.0,False,-0.1170289999936868,,,
Hybrid stack residual,fmiss_hybrid_residual,0.1927616466494451,0.2497373004302831,0.2566489515303245,0.0196999137286285,0.7438226179417011,First positive transfer baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_stack|lightgbm_residual|unit_raw,fmiss,fmiss_extended,unit_raw,hybrid_stack,lightgbm_residual,False,24211.0,107.0,100.0,0.0,False,0.0564416013126254,,,
Reduced-latent winner,fmiss_reduced_latent,0.1719452413726764,0.2287270690286427,0.3764629523481959,-0.0390826558738813,0.9593588730958008,Final fmiss winner,recording_disjoint_main,,,,,fmiss,fmiss_extended,,,,,,,,,,0.0487730968668166,source_plus_reduced_latent_fullctx_lightgbm,context_stack,lightgbm_default
