label,recipe_id,mae,rmse,r2,bias,calibration_slope,notes,protocol,target,variant_id,family,backend,source_target,calibration_intercept
Embed-nommd full context,fmiss_embed_nommd,0.1766203384595188,0.2399732212207453,0.3136388471677802,-0.0468325342049688,0.8786858071155181,Full latent context-first stack,recording_disjoint_main,fmiss,embed_nommd_fullctx_lightgbm,context_stack,lightgbm_default,fmiss_extended,0.0748184326426318
Reduced-latent winner,fmiss_reduced_latent,0.1719452413726764,0.2287270690286427,0.3764629523481959,-0.0390826558738813,0.9593588730958008,Final fmiss winner,recording_disjoint_main,fmiss,source_plus_reduced_latent_fullctx_lightgbm,context_stack,lightgbm_default,fmiss_extended,0.0487730968668166
Transplanted fpos waveform recipe,fmiss_transplanted_fpos,0.1680590046560183,0.228523257096132,0.3775736881319869,-0.0627625661318056,1.2014180594839767,Failed fpos transplant,recording_disjoint_main,fmiss,fmiss_wf_embed_anchor_stack_xgboost,fmiss_waveform_transfer,xgboost_default,fmiss_extended,0.0195061508428512
