recipe_id,label,study_set,row_count,mae,rmse,r2,bias
fmiss_paired_context,Paired-only context,PAIRED_BOYDEN,21,0.1333334850922532,0.18351571903635214,0.527363949733865,-0.08257107057469967
fmiss_paired_context,Paired-only context,PAIRED_CRCNS_HC1,9,0.16006096987396512,0.17896163021973047,-0.19898229125006361,0.05477501893743607
fmiss_paired_context,Paired-only context,PAIRED_ENGLISH,44,0.21373511013882815,0.2617677035825768,0.28243521690989315,-0.05626994339452283
fmiss_paired_context,Paired-only context,PAIRED_KAMPFF,6,0.4388329162883813,0.46334362437173654,-42.47915649578579,0.4388329162883813
fmiss_paired_context,Paired-only context,PAIRED_MEA64C_YGER,20,0.16134193612926448,0.2088743216530517,0.44143024709522993,0.056267945017218254
fmiss_source_reweighted,Source-reweighted full context,PAIRED_BOYDEN,21,0.11972586506968774,0.17223743368236422,0.5836722141169197,-0.0824912936223187
fmiss_source_reweighted,Source-reweighted full context,PAIRED_CRCNS_HC1,9,0.1353300678189274,0.1872702119092128,-0.3128959785485199,0.008761206715213835
fmiss_source_reweighted,Source-reweighted full context,PAIRED_ENGLISH,44,0.2584713793588247,0.3117116299318921,-0.0175013687018728,-0.10573829784906827
fmiss_source_reweighted,Source-reweighted full context,PAIRED_KAMPFF,6,0.21349452228690743,0.25151131943857713,-11.81119961834533,0.21294599295504799
fmiss_source_reweighted,Source-reweighted full context,PAIRED_MEA64C_YGER,20,0.08392067952452982,0.10581998062974927,0.8566351564927568,0.018179156317218247
fmiss_embed_nommd,Embed-nommd full context,PAIRED_BOYDEN,21,0.1109183859095053,0.16866230933590118,0.600776231546875,-0.0885729180985092
fmiss_embed_nommd,Embed-nommd full context,PAIRED_CRCNS_HC1,9,0.13428474559670517,0.2080773099496037,-0.6208482761105669,0.006257065826324944
fmiss_embed_nommd,Embed-nommd full context,PAIRED_ENGLISH,44,0.24666617017700654,0.3005909326819255,0.053804797103700897,-0.10112971548543194
fmiss_embed_nommd,Embed-nommd full context,PAIRED_KAMPFF,6,0.2497319806202408,0.28592120342045346,-15.556458820729116,0.24815401795504802
fmiss_embed_nommd,Embed-nommd full context,PAIRED_MEA64C_YGER,20,0.08862408214452983,0.12360038778303499,0.8044098516015723,0.004062379337218251
fmiss_reduced_latent,Reduced-latent winner,PAIRED_BOYDEN,21,0.11633340740299153,0.15438280705363844,0.665513825631523,-0.06348706814612824
fmiss_reduced_latent,Reduced-latent winner,PAIRED_CRCNS_HC1,9,0.14152583615226072,0.20135954184715255,-0.5178796658208729,0.013958551937436066
fmiss_reduced_latent,Reduced-latent winner,PAIRED_ENGLISH,44,0.2340091953957678,0.28728407249318294,0.1357247284067329,-0.0960374634172501
fmiss_reduced_latent,Reduced-latent winner,PAIRED_KAMPFF,6,0.23490244728690743,0.2734351708842885,-14.14200823131267,0.23201141795504798
fmiss_reduced_latent,Reduced-latent winner,PAIRED_MEA64C_YGER,20,0.08859853195952982,0.11961735599068657,0.8168125544267589,0.0066457972522182465
fmiss_transplanted_fpos,Transplanted fpos waveform recipe,PAIRED_BOYDEN,21,0.14313430836425975,0.1999393538999487,0.4389818991181247,-0.09046849114612825
fmiss_transplanted_fpos,Transplanted fpos waveform recipe,PAIRED_CRCNS_HC1,9,0.12734597931840957,0.16874215700366335,-0.06595803326943384,0.01226214215965829
fmiss_transplanted_fpos,Transplanted fpos waveform recipe,PAIRED_ENGLISH,44,0.2265430676246124,0.27949268392824184,0.18196878085330004,-0.09618074839452283
fmiss_transplanted_fpos,Transplanted fpos waveform recipe,PAIRED_KAMPFF,6,0.11797865228690745,0.13952458938319004,-2.942541134825315,0.0810727062883813
fmiss_transplanted_fpos,Transplanted fpos waveform recipe,PAIRED_MEA64C_YGER,20,0.09890996542208542,0.16920672636336032,0.633442123355979,-0.03706304618278176
