study_set,Embed full ctx,Paired context,Reduced latent,Source reweighted,Transplanted fpos waveform recipe
PAIRED_BOYDEN,0.600776231546875,0.527363949733865,0.665513825631523,0.5836722141169197,0.4389818991181247
PAIRED_CRCNS_HC1,-0.6208482761105669,-0.19898229125006361,-0.5178796658208729,-0.3128959785485199,-0.06595803326943384
PAIRED_ENGLISH,0.053804797103700897,0.28243521690989315,0.1357247284067329,-0.0175013687018728,0.18196878085330004
PAIRED_KAMPFF,-15.556458820729116,-42.47915649578579,-14.14200823131267,-11.81119961834533,-2.942541134825315
PAIRED_MEA64C_YGER,0.8044098516015723,0.44143024709522993,0.8168125544267589,0.8566351564927568,0.633442123355979
