label,recipe_id,mae,rmse,r2,bias,calibration_slope,notes,protocol,target,variant_id,family,backend,source_target,calibration_intercept
Source-reweighted full context,fmiss_source_reweighted,0.1806433528930648,0.2411916011265254,0.3066516382441933,-0.0466469226915255,0.9199442834888968,Source-weighted context-first stack,recording_disjoint_main,fmiss,source_reweighted_fullctx_lightgbm,context_stack,lightgbm_default,fmiss_extended,0.0651297872087109
Reduced-latent winner,fmiss_reduced_latent,0.1719452413726764,0.2287270690286427,0.3764629523481959,-0.0390826558738813,0.9593588730958008,Final fmiss winner,recording_disjoint_main,fmiss,source_plus_reduced_latent_fullctx_lightgbm,context_stack,lightgbm_default,fmiss_extended,0.0487730968668166
Transplanted fpos waveform recipe,fmiss_transplanted_fpos,0.1680590046560183,0.228523257096132,0.3775736881319869,-0.0627625661318056,1.2014180594839767,Failed fpos transplant,recording_disjoint_main,fmiss,fmiss_wf_embed_anchor_stack_xgboost,fmiss_waveform_transfer,xgboost_default,fmiss_extended,0.0195061508428512
