recording_key,Embed full ctx,Paired context,Reduced latent,Source reweighted,Transplanted fpos waveform recipe
PAIRED_BOYDEN::paired_boyden32c::1103_1_1,0.4022172244582245,0.46757981437272844,0.6198580307330486,0.43877391205496696,0.41043452763760657
PAIRED_BOYDEN::paired_boyden32c::419_1_8,0.8308755331980409,0.5965165362638916,0.718333704779414,0.7515416224059008,0.4718809717073431
PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.002,0.09261704591944131,-0.1558194615656605,0.002825364410957265,0.10043058788482817,0.1473481935025336
PAIRED_ENGLISH::paired_english::m139_200114_191955,-33.67512182748393,-16.921149822791737,-28.575624269768944,-34.58749890807072,-39.85914385851296
PAIRED_ENGLISH::paired_english::m139_200114_222743,-654.010321397674,-825.6607751047115,-411.2588195819958,-660.2746100989787,-514.2662879889897
PAIRED_ENGLISH::paired_english::m14_190326_155432,-223.04520749605038,-71.19192659460408,-180.74409630072017,-285.0731233947808,-177.23290244124755
PAIRED_ENGLISH::paired_english::m15_190315_142052_cell1,-0.7983877855769983,-0.01502733482189944,-0.9326444500340461,-0.9134078390930702,-0.647356889470436
PAIRED_ENGLISH::paired_english::m15_190315_152315_cell1,-1.9138918843522612,-4.828373251220654,-2.009113955881277,-1.913116545283303,-1.7788666609864827
PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,-9.742345500993364,-7.991895835498944,-9.13007986015436,-9.636172131878705,-6.7075848119579415
PAIRED_ENGLISH::paired_english::m57_191105_141906,0.6457969756082156,0.6574905767561925,0.683136912143162,0.6796184050336591,0.7580221151546351
PAIRED_ENGLISH::paired_english::m57_191105_160026,-11.332473076878333,-9.126292406058914,-10.371393923018177,-12.852811506232184,-9.931075065609825
PAIRED_KAMPFF::paired_kampff::c14,-15.556458820729116,-42.47915649578579,-14.14200823131267,-11.81119961834533,-2.942541134825315
PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch1,0.8439739969793961,0.261040431246194,0.8146545140546247,0.8093885143944068,0.8660424368747113
PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch2,0.779709829473535,0.5535891402336934,0.8180984693194897,0.8860120838157609,0.48847693455844254
