study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.08572107012779778,0.12090504883704925,0.32612804133870466,-0.029116177603515224,1.3866716082418586,-0.023309722467541386
PAIRED_CRCNS_HC1,0.18612211879545812,0.24618572563053054,0.41866507524932284,-0.15672801982186949,1.2328249263983149,0.10480590792731564
PAIRED_ENGLISH,0.14375951479536261,0.20766929057338873,-0.6156696257190555,0.09408726675539636,0.38565977442802407,0.06549095657203505
PAIRED_KAMPFF,0.0695923348597389,0.08217708725961319,0.8737242217123988,0.04555753567944438,1.0984675905162706,-0.06891735454762395
PAIRED_MEA64C_YGER,0.08482385539209128,0.11511736442279415,0.38829941433121096,0.05173878863991923,0.8985432752123438,-0.03535074194094142
