study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.0491296175367773,0.05771351444983518,0.5747054741979156,-0.032831169559717543,0.8382101282462189,0.05993661226577042
PAIRED_CRCNS_HC1,0.395747809887675,0.4330854128977023,-1.8615652780947851,-0.395747809887675,1.4336774020042362,0.3018683827942056
PAIRED_ENGLISH,0.18437453733806838,0.2205675766594307,0.24993134382059135,-0.07616873074003519,1.1828272940230444,0.02442415734806281
PAIRED_KAMPFF,0.07539658341320422,0.12305005867113465,0.7030948239388539,-0.0490712315972032,1.6946745607343772,-0.02943477104158815
PAIRED_MEA64C_YGER,0.0721489722339814,0.10121123783986641,0.23321161066476392,-0.04282938511290789,1.123961017477992,0.036892533901931555
