study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.07416717761250007,0.09072527301975013,-0.05097241590431412,-0.06964798633670842,0.7135499414136744,0.10709217604630648
PAIRED_CRCNS_HC1,0.331163111126793,0.3625225384588066,-1.0050562917387218,-0.331163111126793,0.9990963806712313,0.33141708025182326
PAIRED_ENGLISH,0.21841465262027732,0.27210682491244204,-0.14155421972819848,-0.10120054580390093,0.5215177257639966,0.22464539369146297
PAIRED_KAMPFF,0.08362655624531726,0.12811020663589612,0.6781736630986702,-0.06454955007336184,1.5146287336111321,0.014356329050489915
PAIRED_MEA64C_YGER,0.05869218548889691,0.08052845793908217,0.5145809445562528,-0.04377298580778964,1.1071302136063277,0.03874329855706865
