variant_id,holdout_r2,holdout_mae,holdout_rmse,cv_r2,cv_mae,n_features
wf_embed_anchor_stack_xgboost,0.49220514398061643,0.11937584845261986,0.17560354729806782,0.3331368768365546,0.13148420546848363,662
wf_embed_no_source_no_anchor_xgboost,0.46551681765178987,0.12181651069063724,0.1801590812345782,0.4579945377010798,0.11903267710895545,659
wf_embed_no_source_pred_xgboost,0.4652478809769388,0.12463227548648056,0.180204400986954,0.4925175888630604,0.1174322282886365,661
