study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.04388045744020416,0.05334839038790396,0.5406455303520672,0.027351620554116114,1.241024517004559,-0.08205551869676042
PAIRED_CRCNS_HC1,0.4190990512564754,0.4674341898025941,-2.333477248323423,-0.4190990512564754,2.864455996400691,0.05903212127123809
PAIRED_ENGLISH,0.21547603804400323,0.2874756096639007,-0.020799436841079766,-0.14437228903303181,1.76295958798541,0.00042866328361766107
PAIRED_KAMPFF,0.0938308491945004,0.1445638467904218,0.5301304678606545,-0.035974967357153914,2.1705407310691913,-0.10928016385403509
PAIRED_MEA64C_YGER,0.073968212364384,0.09221637691402769,0.16250300417084595,-0.073968212364384,1.6854736637872958,0.052714675101970886
