target,variant_id,family,backend,feature_set,cv_mae,cv_r2,selected_rows,mean_selected_weight
fpos,source_reweighted_cluster_trust_pseudo_lightgbm_default,backend_sweep,lightgbm_default,source_reweighted,0.1416280774721141,0.2490310201929461,150,0.11942091584205627
fpos,source_reweighted_cluster_trust_pseudo_xgboost_default,backend_sweep,xgboost_default,source_reweighted,0.1369850035384999,0.3111723154257424,150,0.11942091584205627
fpos,source_reweighted_anchor_stack_cluster_trust_pseudo_lightgbm_default,backend_sweep,lightgbm_default,anchor_stack,0.1446841756860604,0.23349043045093965,150,0.11942091584205627
fpos,source_reweighted_anchor_stack_cluster_trust_pseudo_xgboost_default,backend_sweep,xgboost_default,anchor_stack,0.12907521616417014,0.35012132778661353,150,0.11942091584205627
