study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.06559708422540098,0.07991089287852249,0.19484640068483017,0.016265617188971633,0.547992441525113,0.05694500539175158
PAIRED_CRCNS_HC1,0.3973674960274225,0.43611268702630146,-1.901709871428459,-0.3973674960274225,1.0860730262417793,0.3788744253032064
PAIRED_ENGLISH,0.18234569934577613,0.2277924590888703,0.25662370285316816,-0.04555865288609198,0.8458879447034209,0.08817323072878859
PAIRED_KAMPFF,0.04513351965883898,0.06852198566761811,0.8985735026745469,-0.0430570709666551,1.3024744072309977,0.016820013848716578
PAIRED_MEA64C_YGER,0.06228108011758701,0.09877631507403707,0.5496368364093704,0.014097085675017298,1.04836072098951,-0.020088290035925417
