held_out_family,Paired-only raw,Paired-only context,Reduced-latent context
PAIRED_BOYDEN,-0.4012218249479147,-0.8950551459466272,-1.033102650825503
PAIRED_CRCNS_HC1,-0.299897106108583,-0.5543051997063484,-0.819493827377826
PAIRED_ENGLISH,-0.8029319826226091,-0.6507204628132481,-0.6625076438590912
PAIRED_KAMPFF,-0.206854468760199,-0.8591958461406664,-0.797635548895397
PAIRED_MEA64C_YGER,-0.1254931537111661,0.1874395156724888,0.4461916174760881
