label,recipe_id,mae,rmse,r2,bias,calibration_slope,notes,protocol,phase,split_id,protocol_mode,candidate_id,target,source_target,feature_view,model_family,model_name,is_ceiling_model,source_label_rows,target_label_rows,target_eval_rows,target_unlabeled_rows,used_unlabeled_paired,calibration_intercept,variant_id,family,backend
Hybrid-only XGBoost,fmiss_hybrid_only,0.3161607680054178,0.422134791481719,-1.1238773196148455,0.2310621514276042,0.3580257614427868,Pure source failure baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_only|xgboost|unit_raw,fmiss,fmiss_extended,unit_raw,hybrid_only,xgboost,False,24211.0,107.0,100.0,0.0,False,0.0954357300573001,,,
Paired-only context,fmiss_paired_context,0.1950473293667486,0.2484181928294271,0.2644809443236344,0.0004146168103575,0.7700393918457245,Context-only target baseline,recording_disjoint_main,,,,,fmiss,fmiss_extended,,,,,,,,,,0.0634998416214703,contextual_paired_only_lightgbm,context_stack,lightgbm_default
Reduced-latent context,fmiss_reduced_latent,0.1719452413726764,0.2287270690286427,0.3764629523481959,-0.0390826558738813,0.9593588730958008,Final fmiss reduced-latent context stack,recording_disjoint_main,,,,,fmiss,fmiss_extended,,,,,,,,,,0.0487730968668166,source_plus_reduced_latent_fullctx_lightgbm,context_stack,lightgbm_default
