recipe_id,label,seed_count,mean_r2,std_r2,min_r2,max_r2,mean_mae,std_mae,mean_rank,median_rank,winner_count,top3_count
fmiss_reduced_latent,Reduced-latent context,20,-0.012811971207784623,0.2495515198737882,-0.5650562893566915,0.5021350796357829,0.2101363445110688,0.026733170212696312,1.7,1.0,11,20
fmiss_paired_context,Paired-only context,20,-0.046192583139280055,0.21341317857722103,-0.4506704829299495,0.3146234801759164,0.214694870575797,0.022732234863279334,1.75,2.0,5,20
fmiss_paired_raw,Paired-only raw,20,-0.23464559714572317,0.18092308090995404,-0.5679785145487597,0.1468000941635434,0.24127930461716232,0.017509730027576227,2.55,3.0,4,20
