stage,model,r2,mae
1  sanity floor,Dummy paired mean,-0.0830849329677233,0.2546180091550815
2  paired baseline,Paired-only raw,-0.2346455971457231,0.2412793046171623
3  source transfer,Hybrid-only XGBoost,-2.211771228331166,0.389808262705516
4  paired context,Paired-only context,-0.04619258313928,0.214694870575797
5  reduced latent,Reduced-latent context,-0.0128119712077846,0.2101363445110688
