variant_id,holdout_r2,holdout_mae,holdout_rmse,cv_r2,cv_mae,n_features,delta_r2_vs_winner,delta_mae_vs_winner
wf_embed_anchor_stack_xgboost,0.5505482487421315,0.1142023853832245,0.16520784817939974,0.3198777792452352,0.13762879845058984,662,0.0,0.0
wf_embed_no_source_pred_xgboost,0.5256918080355341,0.11806136551982435,0.16971469535677233,0.4736301151174851,0.11896124459973512,661,-0.024856440706597427,0.0038589801365998544
wf_embed_no_source_no_anchor_xgboost,0.5036248159795218,0.11881545794941414,0.17361776717346356,0.47731255606688505,0.11914982190636164,659,-0.046923432762609685,0.0046130725661896466
