comparison,feature_set,feature_group,n_features,mean_abs_smd,median_abs_smd,max_abs_smd,mean_ks,mean_missing_gap
hybrid_vs_paired_all,context_only,recording_context,470,0.5184643053513746,0.2933483328144037,5.305377328505386,0.4000133254296896,0.0014395820167019
hybrid_vs_paired_all,context_only,recording_relative,51,7.173362929511843e-17,0.0,3.8554134253312304e-16,0.0146121866136283,0.0066508322383195
hybrid_vs_paired_all,full_context,other,41,0.7339955848415857,0.6569703423517561,2.56550616733423,0.533463309685097,0.0448552915038617
hybrid_vs_paired_all,full_context,waveform_bins,30,0.7107847072573519,0.4716057537078804,2.4651908244838228,0.521905607735878,0.0
hybrid_vs_paired_all,full_context,amplitude,23,0.5389826677571901,0.6088385999759346,1.4018672031087305,0.5810625348637588,0.0003465223949255
hybrid_vs_paired_all,full_context,confusability,15,0.5334700335508915,0.4559605483891429,1.091056609858222,0.2965764494843675,0.0001781340458695
hybrid_vs_paired_all,full_context,recording_context,470,0.5184643053513746,0.2933483328144037,5.305377328505386,0.4000133254296896,0.0014395820167019
hybrid_vs_paired_all,full_context,spikeinterface,15,0.2996417531430571,0.2130015648201696,0.9615460349251936,0.3063319513405199,0.0219033612255312
hybrid_vs_paired_all,full_context,acg_bins,40,0.2656074724110815,0.2866538754586718,0.5105736575863603,0.2651934393709516,0.0
hybrid_vs_paired_all,full_context,recording_relative,51,7.173362929511843e-17,0.0,3.8554134253312304e-16,0.0146121866136283,0.0066508322383195
hybrid_vs_paired_all,shape,waveform_bins,30,0.7107847072573519,0.4716057537078804,2.4651908244838228,0.521905607735878,0.0
hybrid_vs_paired_all,shape,acg_bins,40,0.2656074724110815,0.2866538754586718,0.5105736575863603,0.2651934393709516,0.0
hybrid_vs_paired_all,unit,other,41,0.7339955848415857,0.6569703423517561,2.56550616733423,0.533463309685097,0.0448552915038617
hybrid_vs_paired_all,unit,waveform_bins,30,0.7107847072573519,0.4716057537078804,2.4651908244838228,0.521905607735878,0.0
hybrid_vs_paired_all,unit,amplitude,23,0.5389826677571901,0.6088385999759346,1.4018672031087305,0.5810625348637588,0.0003465223949255
hybrid_vs_paired_all,unit,confusability,15,0.5334700335508915,0.4559605483891429,1.091056609858222,0.2965764494843675,0.0001781340458695
hybrid_vs_paired_all,unit,spikeinterface,15,0.2996417531430571,0.2130015648201696,0.9615460349251936,0.3063319513405199,0.0219033612255312
hybrid_vs_paired_all,unit,acg_bins,40,0.2656074724110815,0.2866538754586718,0.5105736575863603,0.2651934393709516,0.0
hybrid_vs_paired_finetune,context_only,recording_context,470,0.8877135648927024,0.667443840584438,7.412369237639339,0.4821859451698254,-0.0033978119998059
hybrid_vs_paired_finetune,context_only,recording_relative,51,0.4585253526270817,0.502615568680206,0.908702479171159,0.2587505667891792,-0.0156565847049881
hybrid_vs_paired_finetune,full_context,other,41,1.2057872653124266,1.126897457048007,3.9630644161487623,0.6540084489032133,0.0676687932889835
hybrid_vs_paired_finetune,full_context,amplitude,23,1.0677613354466238,0.8672866596286098,2.4268579863300546,0.6235004933158108,-0.0008781491704273
hybrid_vs_paired_finetune,full_context,waveform_bins,30,0.9961337957830368,0.74416168495068,3.222565296130817,0.6770425275913435,0.0
hybrid_vs_paired_finetune,full_context,recording_context,470,0.8877135648927024,0.667443840584438,7.412369237639339,0.4821859451698254,-0.0033978119998059
hybrid_vs_paired_finetune,full_context,confusability,15,0.7284204407043106,0.6941180226214407,2.151373323650193,0.3751537205803957,0.0
hybrid_vs_paired_finetune,full_context,recording_relative,51,0.4585253526270817,0.502615568680206,0.908702479171159,0.2587505667891792,-0.0156565847049881
hybrid_vs_paired_finetune,full_context,spikeinterface,15,0.4495410069695553,0.3453765689998149,1.5637221725418071,0.3835531421265221,-0.0518858926023044
hybrid_vs_paired_finetune,full_context,acg_bins,40,0.3887876727287991,0.3786359425394419,0.8568343108631511,0.3149306891862314,0.0
hybrid_vs_paired_finetune,shape,waveform_bins,30,0.9961337957830368,0.74416168495068,3.222565296130817,0.6770425275913435,0.0
hybrid_vs_paired_finetune,shape,acg_bins,40,0.3887876727287991,0.3786359425394419,0.8568343108631511,0.3149306891862314,0.0
hybrid_vs_paired_finetune,unit,other,41,1.2057872653124266,1.126897457048007,3.9630644161487623,0.6540084489032133,0.0676687932889835
hybrid_vs_paired_finetune,unit,amplitude,23,1.0677613354466238,0.8672866596286098,2.4268579863300546,0.6235004933158108,-0.0008781491704273
hybrid_vs_paired_finetune,unit,waveform_bins,30,0.9961337957830368,0.74416168495068,3.222565296130817,0.6770425275913435,0.0
hybrid_vs_paired_finetune,unit,confusability,15,0.7284204407043106,0.6941180226214407,2.151373323650193,0.3751537205803957,0.0
hybrid_vs_paired_finetune,unit,spikeinterface,15,0.4495410069695553,0.3453765689998149,1.5637221725418071,0.3835531421265221,-0.0518858926023044
hybrid_vs_paired_finetune,unit,acg_bins,40,0.3887876727287991,0.3786359425394419,0.8568343108631511,0.3149306891862314,0.0
hybrid_vs_paired_matched,context_only,recording_context,470,0.6970284406111221,0.5628214085180464,5.943952284266864,0.4646558673548958,-0.0046127940891947
hybrid_vs_paired_matched,context_only,recording_relative,51,0.4040014992616654,0.3804483684306919,0.8966392452001324,0.2100758702652969,-0.0210655838276856
hybrid_vs_paired_matched,full_context,other,41,1.0078115320428909,0.7455802104277737,3.2524692219855664,0.6026168223919723,0.0518127671951996
hybrid_vs_paired_matched,full_context,amplitude,23,0.8960246114265723,0.6560294190298362,1.8249430892493037,0.595510451758673,-0.0008781491704273
hybrid_vs_paired_matched,full_context,recording_context,470,0.6970284406111221,0.5628214085180464,5.943952284266864,0.4646558673548958,-0.0046127940891947
hybrid_vs_paired_matched,full_context,confusability,15,0.6275508176668001,0.6457322221872487,1.5348604992043935,0.317689663527278,0.0019323671497584
hybrid_vs_paired_matched,full_context,waveform_bins,30,0.5838688480621615,0.2976050323208978,2.3023933348773213,0.5908223534756929,0.0
hybrid_vs_paired_matched,full_context,recording_relative,51,0.4040014992616654,0.3804483684306919,0.8966392452001324,0.2100758702652969,-0.0210655838276856
hybrid_vs_paired_matched,full_context,spikeinterface,15,0.3757018534567043,0.3268641870478967,1.3195647195854745,0.3536666366841457,-0.0722088567692344
hybrid_vs_paired_matched,full_context,acg_bins,40,0.2870009140571564,0.2761507902333981,0.6418966303514404,0.2654693428965993,0.0
hybrid_vs_paired_matched,shape,waveform_bins,30,0.5838688480621615,0.2976050323208978,2.3023933348773213,0.5908223534756929,0.0
