held_out_family,reference_anchor_stack_xgboost,wf_embed_anchor_stack_xgboost,waveform_minus_reference
PAIRED_ENGLISH,0.3878626572528211,0.3774252161234454,-0.010437441129375724
PAIRED_CRCNS_HC1,0.4371736933969622,0.4275923287150074,-0.009581364681954807
PAIRED_KAMPFF,0.708891891115753,0.7124856203631504,0.003593729247397426
PAIRED_BOYDEN,0.097686792145223,0.1379733842148397,0.04028659206961671
PAIRED_MEA64C_YGER,0.225885710156435,0.3321424764370461,0.10625676628061109
