study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.04331579459545993,0.057051380973410705,0.6349090427824235,0.0030879865912254306,0.7788982560137842,0.026241068639808005
PAIRED_CRCNS_HC1,0.1228506656906099,0.17875095375198008,0.08364377517492694,-0.025417461775324446,0.9694759737865462,0.029136396616934516
PAIRED_ENGLISH,0.18450028873007193,0.2247233251815368,0.2954160657174978,-0.04370058889267848,0.8998661935983865,0.07823338460732054
PAIRED_KAMPFF,0.056940496227622435,0.09406449698851573,0.8097708246593498,-0.028577351340850272,1.4048659037881166,-0.011125052103285602
PAIRED_MEA64C_YGER,0.08344205870345911,0.12110553900483087,0.3230053538874351,0.019137667124883594,0.9826028295478492,-0.016894713699514986
