label,recipe_id,mae,rmse,r2,bias,calibration_slope,notes,protocol,target,variant_id,family,backend,source_target,calibration_intercept
Trust-filtered unlabeled stack,fpos_pre_waveform_unlabeled,0.1178656977327637,0.1739936007292452,0.501473465085337,-0.0599585094016117,1.348928730151501,Strongest positive result before waveform embedding,recording_disjoint_main,fpos,source_reweighted_anchor_stack_cluster_trust_pseudo_xgboost_default,backend_sweep,xgboost_default,fpos,0.0037979221812318
Waveform-augmented stack,fpos_waveform_winner,0.1160615450398521,0.1683680140859871,0.5331891877732409,-0.0492654347470567,1.2302683944694262,Final fpos waveform-augmented stack,recording_disjoint_main,fpos,wf_embed_anchor_stack_xgboost,signal_embedding_stack,xgboost_default,fpos,0.0097411242126837
