index,Context stack,Paired context,Pseudo+anchor,Waveform+
KAMPFF,0.7810568693928727,0.7709715243789095,0.7968684045342252,0.7983719046102475
MEA64C_YGER,0.1535871522517853,0.3841123075809756,0.2333824639528684,0.1213115484483756
BOYDEN,0.0288051918074804,-0.4225359065114049,0.2727052031327051,0.2108141940480667
ENGLISH,0.1421225668870382,0.1469742512945317,0.18534369854702,0.1587686865560151
CRCNS_HC1,0.0193548715424217,0.0411412752951081,-0.1412091107199359,-0.1544396840301518
