recipe_id,label,study_set,row_count,mae,rmse,r2,bias,seed_count,row_count_std,mae_std,rmse_std,r2_std,bias_std
fpos_paired_context,Paired-only context,PAIRED_BOYDEN,16.05263157894737,0.085209710358983,0.1064271892123645,-0.4225359065114049,0.0111454305243296,19,6.629072207930016,0.0301309968292592,0.0351238381757882,1.3662447587097992,0.0621178101540442
fpos_paired_context,Paired-only context,PAIRED_CRCNS_HC1,12.11111111111111,0.1909671251543397,0.2342926426045421,0.0411412752951081,-0.0886913371271883,18,5.248162523830908,0.0612614653128472,0.063041155683123,0.6655772125321031,0.1346841783355911
fpos_paired_context,Paired-only context,PAIRED_ENGLISH,40.1,0.1889370301223994,0.2346574124477229,0.1469742512945317,0.007939634332704,20,10.42544963059148,0.032995587197156,0.034244304215629,0.2691757542457345,0.0877719140205934
fpos_paired_context,Paired-only context,PAIRED_KAMPFF,16.5,0.0687251399530834,0.0966342947083282,0.7709715243789095,-0.028713926647689,18,6.18465843842649,0.0256040697560126,0.031896542873491,0.1328507938067474,0.0382780673387605
fpos_paired_context,Paired-only context,PAIRED_MEA64C_YGER,18.9,0.072938109632154,0.1045079149903988,0.3841123075809756,-0.0070724380324988,20,7.105631569396206,0.0189156576015703,0.0321134476525951,0.3013411100510604,0.045316962987226
fpos_context_stack,Context-first source stack,PAIRED_BOYDEN,16.05263157894737,0.0727033690253088,0.0956417553108682,0.0288051918074804,-0.006631760921329,19,6.629072207930016,0.0195025458680421,0.0259658727382799,0.4193260933815282,0.0447058091556537
fpos_context_stack,Context-first source stack,PAIRED_CRCNS_HC1,12.11111111111111,0.1986077224571105,0.2455818051983058,0.0193548715424217,-0.1182642111374636,18,5.248162523830908,0.0818251669319966,0.0737553343297875,0.7171019934422597,0.1304731026692304
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH,40.1,0.1884718190573391,0.2347923298232793,0.1421225668870382,0.0001097795254748,20,10.42544963059148,0.0420942610607833,0.0436611614178841,0.3097526250518766,0.0963802866821585
fpos_context_stack,Context-first source stack,PAIRED_KAMPFF,16.5,0.0659542692987802,0.0948897486379028,0.7810568693928727,-0.0218158900248372,18,6.18465843842649,0.0227233125271576,0.0271609108156296,0.1109735108789213,0.0431951712582152
fpos_context_stack,Context-first source stack,PAIRED_MEA64C_YGER,18.9,0.0759162992674901,0.1210225580340986,0.1535871522517853,-0.0098211610288641,20,7.105631569396206,0.0231417882593127,0.0454094376531939,0.6884541965812565,0.0505254231207846
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_BOYDEN,16.05263157894737,0.0653680531249145,0.0845062028949599,0.2727052031327051,-0.0109247479243769,19,6.629072207930016,0.0184554690488161,0.0260430114781696,0.2523264698739905,0.0364253144982856
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_CRCNS_HC1,12.11111111111111,0.2106005182992236,0.2605973819712938,-0.1412091107199359,-0.1338329006668678,18,5.248162523830908,0.0950491062349226,0.0901724566828334,0.9502171754809394,0.1429184092649282
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH,40.1,0.1820582635063983,0.2288544053321278,0.18534369854702,-0.0041084128751531,20,10.42544963059148,0.042358439990376,0.0448076462818103,0.2984753376702026,0.0996030785110021
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_KAMPFF,16.5,0.0629747773766509,0.0917517150409099,0.7968684045342252,-0.0252852290112765,18,6.18465843842649,0.0224222457892766,0.0286955502760103,0.1075619237121995,0.0419290606263056
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_MEA64C_YGER,18.9,0.0760002828703572,0.1166834371980021,0.2333824639528684,-0.0093020944015911,20,7.105631569396206,0.0184179048368962,0.0379249310620917,0.4486796389901495,0.0474809835455218
fpos_waveform_winner,Waveform-augmented structure,PAIRED_BOYDEN,16.05263157894737,0.0688496657835782,0.0876257359085912,0.2108141940480667,-0.0052784923676845,19,6.629072207930016,0.0213789160036688,0.0280096193704483,0.336588364695549,0.0426787926041534
fpos_waveform_winner,Waveform-augmented structure,PAIRED_CRCNS_HC1,12.11111111111111,0.2087087455160814,0.2596372494456415,-0.1544396840301518,-0.1371729654222009,18,5.248162523830908,0.0960847754223024,0.0911696263535629,0.9623560145253428,0.1428599614739631
fpos_waveform_winner,Waveform-augmented structure,PAIRED_ENGLISH,40.1,0.1832985969846725,0.2320068526492633,0.1587686865560151,-0.0061890365353175,20,10.42544963059148,0.0451655382613123,0.0473523642106118,0.3295562034958568,0.0995051886001524
fpos_waveform_winner,Waveform-augmented structure,PAIRED_KAMPFF,16.5,0.0632092967896168,0.091840996176617,0.7983719046102475,-0.0255337189844472,18,6.18465843842649,0.0203779548822404,0.0264861564224419,0.1063230945143269,0.0400664109650288
fpos_waveform_winner,Waveform-augmented structure,PAIRED_MEA64C_YGER,18.9,0.0805817315837492,0.1229510174047322,0.1213115484483756,-0.007266492843969,20,7.105631569396206,0.0243227164166445,0.0414322849724551,0.6893319031036258,0.053031751283631
