held_out_family,Paired-only raw,Paired-only context,Context-first source stack,Trust-filtered unlabeled stack,Waveform-augmented stack
PAIRED_BOYDEN,0.002850434478905,-0.1658746148395879,0.1114478300432314,0.097686792145223,0.1379733842148397
PAIRED_CRCNS_HC1,0.4333857872350893,0.4487131786300233,0.4249232101660216,0.4371736933969622,0.4275923287150074
PAIRED_ENGLISH,0.2036131880937694,0.3086208609311038,0.3978938868960953,0.3878626572528211,0.3774252161234454
PAIRED_KAMPFF,0.5661837337747543,0.6448294834039483,0.6899724254840303,0.708891891115753,0.7124856203631504
PAIRED_MEA64C_YGER,0.2108734469466769,0.2606295499846875,0.2790441818956387,0.225885710156435,0.3321424764370461
