recipe_id,label,recording_key,row_count,mae,rmse,r2,bias,seed_count,row_count_std,mae_std,rmse_std,r2_std,bias_std
fpos_paired_context,Paired-only context,PAIRED_BOYDEN::paired_boyden32c::1103_1_1,10.0,0.0985587898232117,0.1162129999580821,-1.431553829716799,0.0240283601835416,10,0.0,0.0326037624243324,0.0394951433101833,1.6697708863296,0.0852819584159433
fpos_paired_context,Paired-only context,PAIRED_BOYDEN::paired_boyden32c::419_1_8,11.0,0.0548454854697032,0.069158025130712,-0.0952434096335096,-0.0361977573296391,9,0.0,0.0073391411652339,0.0103457011693088,0.3323203423644824,0.0271500969674784
fpos_paired_context,Paired-only context,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.001,1.0,0.3109212844312169,0.3109212844312169,,-0.3109212844312169,12,0.0,0.1121460583192236,0.1121460583192236,0.0,0.1121460583192236
fpos_paired_context,Paired-only context,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.002,8.0,0.1431412312973088,0.1917119905846213,-0.0732070566622387,0.0149605644400198,11,0.0,0.0375894586371576,0.0258371531739293,0.3009502842116709,0.080985024007596
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m139_200114_191955,3.0,0.3057574437131234,0.333408680074075,-6.0620407000856344,-0.29622568584671,12,0.0,0.0864643492319712,0.0777056618193294,2.9778502493783616,0.1080572259436271
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m139_200114_222743,7.0,0.1171090592384476,0.1338782296712342,-1.0845206367627176,0.1018068786618578,13,0.0,0.0477884506027644,0.0474370310429155,1.4486117470363191,0.0576352898900572
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m14_190326_155432,3.0,0.1348939718657431,0.1564762022521016,-4.155398216442646,0.1324519199391375,14,0.0,0.0821350157370969,0.093061283138777,4.84360783470988,0.0851413901757867
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m15_190315_142052_cell1,6.0,0.2525829883789435,0.2861692044665733,0.0866926792394714,-0.0204072939198103,10,0.0,0.0345782269091483,0.0316313802546468,0.1995701234711847,0.0779960905639977
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m15_190315_152315_cell1,6.0,0.1977056669501537,0.245722105231244,0.3670715692822142,0.0966790457764926,10,0.0,0.0420054076346883,0.0334401153971678,0.1616645193885238,0.1003223075587469
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,3.0,0.1620401325481726,0.1941953292162126,-0.4714558658157756,-0.0540977496904674,12,0.0,0.0513797061774333,0.0643950695157033,1.0012762471915475,0.1175337223153287
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m57_191105_141906,6.0,0.1227933925891477,0.144854071096473,-5.649570196444221,0.0384412788645686,12,0.0,0.0321309326884617,0.0363038905044779,3.338448512599705,0.0976523967355896
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m57_191105_160026,10.0,0.2401030932897903,0.2761805766606877,0.1212230208363697,-0.056769447980124,11,0.0,0.0369347436420405,0.0385824904158429,0.2460600955360699,0.069203781894912
fpos_paired_context,Paired-only context,PAIRED_KAMPFF::paired_kampff::c14,6.0,0.1040553603832989,0.126736123342212,0.6452581980477506,-0.0808483562648613,9,0.0,0.0324999450277293,0.0411831628513669,0.2150250984849504,0.0620360697954941
fpos_paired_context,Paired-only context,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch1,9.0,0.0754274299999499,0.0889907586543161,0.5084515388316093,0.0425404290824048,10,0.0,0.0177305990858085,0.0173756275674038,0.2042600218555142,0.0289727529160892
fpos_paired_context,Paired-only context,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch2,11.0,0.068932710010971,0.0832107314603454,0.2834924270250243,-0.0687958886521875,8,0.0,0.0101646503346666,0.0187435301718741,0.3074999034416348,0.0103387943419996
fpos_paired_context,Paired-only context,PAIRED_BOYDEN::paired_boyden32c::509_1_1,5.0,0.0885531086064907,0.1080333808090615,-0.1231242260401471,0.0323948933893882,11,0.0,0.0269888495446809,0.02821732115796,0.533436915390175,0.0585633248452303
fpos_paired_context,Paired-only context,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.001,6.0,0.175034463628098,0.2140479350129892,-0.3232641996695815,0.0135719952193905,8,0.0,0.046587099527737,0.0428860771852553,0.5696210042978586,0.07929020587971
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m113_191125_204935,9.0,0.1942592277807329,0.2185155473472494,-1.4817604221911826,-0.1776244886794697,11,0.0,0.0633340667424134,0.0643009251995122,1.4722586684674486,0.0790238855909938
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m15_190315_150831_cell1,3.0,0.0377521251123824,0.0417014751268013,-13.457818822095874,0.0342581411959583,12,0.0,0.0314836972508745,0.0321248598966568,17.712909642764323,0.0346795351286643
fpos_paired_context,Paired-only context,PAIRED_KAMPFF::paired_kampff::2015_09_03_Pair_9_0A,12.0,0.0653849012718231,0.0912531863649181,0.7326645069456017,-0.0057232246633351,8,0.0,0.0198029452985805,0.0249561490133513,0.1237955441958651,0.0259188955100492
fpos_paired_context,Paired-only context,PAIRED_MEA64C_YGER::paired_mea64c::20160415_patch2,8.0,0.0753895284268652,0.095122011434933,-0.8541180512904715,0.0433564041599041,13,0.0,0.037251660881332,0.0417708979930525,1.6418732561688048,0.0596252578861173
fpos_paired_context,Paired-only context,PAIRED_MEA64C_YGER::paired_mea64c::20170621_patch1,8.0,0.0746396525360914,0.1285847777917983,0.5465339899109615,-0.0283120611248362,12,0.0,0.0256629045588546,0.0405575365796138,0.2374920078998752,0.0424142612233155
fpos_paired_context,Paired-only context,PAIRED_BOYDEN::paired_boyden32c::419_1_7,17.0,0.1029101963228121,0.1376903510103018,0.2117078919140942,-0.0232581665168431,3,0.0,0.0078054593197689,0.0135118524136533,0.1539041813488745,0.0161334061411849
fpos_paired_context,Paired-only context,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.002,7.0,0.2069303735048055,0.2566486604731328,-0.1436391084359846,-0.1998453335629728,10,0.0,0.0657585505143852,0.0777801976691817,0.6432186606388435,0.0680777595156824
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m108_191125_171427,4.0,0.206331055078411,0.2527464958580472,-1.959182981245916,-0.1068109553581156,11,0.0,0.0312091756289171,0.0387747454631846,0.8617799650710225,0.1019706346442726
