study_set,fpos_r2,fpos_mae,fpos_bias,fmiss_r2,fmiss_mae,fmiss_bias
PAIRED_BOYDEN,0.5893689068629977,0.04526752472851181,-0.013777566613309665,0.6652368857623525,0.11498851865287442,-0.019303932336604428
PAIRED_CRCNS_HC1,0.37128584768705897,0.1542426345409807,-0.09046856173590882,-0.18206244470712418,0.12802111316720374,-0.006746128951452828
PAIRED_ENGLISH,0.47697455034944314,0.16431035074256747,-0.04395202240188867,0.22876118923230715,0.2303929594337947,-0.044654707417250104
PAIRED_KAMPFF,0.6850785762018787,0.10606548715375026,-0.10606548715375026,-1.4741064175278993,0.10335312169491527,0.06475654962171463
PAIRED_MEA64C_YGER,0.5043857935065301,0.05960703865216029,-0.05201024333487094,0.8577348744562904,0.06490803264952982,-0.02269826465778176
