feature,mean_abs_shap
source_pred,0.0318483886163448
amp_bin_spread_ratio_recording_std,0.0238476020074449
amp_bin_cv_mean_recording_pct,0.0231265354086644
si_isi_violations_count,0.022217924487777
si_amplitude_cv_median,0.0219041635852772
si_amplitude_cv_median_recording_pct,0.0096265499293804
amp_std_recording_pct,0.0087880545924417
wf_bin_13,0.007864119449805
amp_bimodality,0.0076278565847314
amp_bin_cv_mean_recording_pct_recording_delta,0.0074642332014627
wf_energy_recording_delta,0.0070710944617167
si_amplitude_cv_median_recording_delta,0.0069168652454391
si_drift_mad,0.0062561095651471
isi_std_ms,0.0059922253267723
si_drift_ptp,0.0054008064913796
si_firing_rate_hz,0.0050303304847329
si_drift_std,0.0047773165476974
amp_cv_recording_mean,0.0046377886645495
isi_mean_ms,0.0044830414047464
acg_20,0.004360639686929
si_amplitude_cv_range_recording_pct,0.0042020471862633
amp_std_recording_iqr,0.004029970797128
si_num_spikes,0.0039793074943008
presence_ratio,0.0039351047511445
acg_19,0.0037992460683744
amp_bin_cv_mean_recording_delta,0.0034264587136567
si_drift_ptp_recording_delta,0.0034249486177577
isi_violation_rate_recording_delta,0.0031136690327548
n_waveform_confusable_recording_pct_recording_iqr,0.003101177207427
si_amplitude_cv_median_recording_iqr,0.0029541486513335
acg_18,0.0028890482579299
si_amplitude_cv_median_recording_pct_recording_delta,0.0025767979718511
isi_violation_rate,0.0024540464990423
amp_std_recording_delta,0.0024065829021856
si_amplitude_cutoff,0.0023147294036243
si_amplitude_cv_range_recording_delta,0.0022246449225349
template_norm_recording_pct,0.0021293796844838
mean_waveform_cosine_top3_recording_delta,0.0020681103339666
amp_std_recording_pct_recording_delta,0.0020587628585053
si_isi_violations_ratio,0.0020274546912696
amp_bin_spread_ratio,0.0019960842197178
template_norm_recording_delta,0.001939491967787
mean_cosine_top5_recording_pct,0.0018842162596411
wf_embed_01,0.0018829836119402
amp_bin_spread_ratio_recording_delta,0.0018465277104405
mean_neighbor_dist_um_recording_mean,0.0017684893572004
acg_29,0.0017666290471061
n_active_channels,0.0017659806989831
acg_21,0.0016750794064137
wf_rebound_ratio,0.0016358361624588
si_snr_recording_pct,0.0016017270057636
amp_p95_recording_pct,0.0015553092900699
max_cosine,0.0013778855590499
si_amplitude_cv_range,0.0013618306620628
post_trough_peak_uv,0.0012849693784664
