feature_group,mean_abs_shap,feature_count
recording_context,0.188408464650392,492
spikeinterface_qc,0.09283225853411199,20
waveform,0.03411662881790864,58
source_transfer,0.0318483886163448,1
acg,0.027642968138637362,40
other,0.02157005190987872,32
amplitude,0.016097610429773496,19
