target,variant_id,budget_rows,repeats,mean_mae,std_mae,mean_r2,std_r2,mean_bias,mean_subset_recordings
fmiss,contextual_paired_only_lightgbm,20,2,0.2621893576449502,0.0012701811588814,-0.397954735959787,0.3874287811968178,-0.1134915123225987,3.0
fmiss,contextual_paired_only_lightgbm,60,2,0.2230574994992221,0.0088073742034286,0.0396902562009929,0.0755998670509513,-0.0028465830439567,8.0
fmiss,contextual_paired_only_lightgbm,107,1,0.1570243741320495,0.0,0.439047905470224,0.0,-0.0282268828477576,14.0
fmiss,source_reweighted_fullctx_lightgbm,20,2,0.2621893576449502,0.0012701811588814,-0.397954735959787,0.3874287811968178,-0.1134915123225987,3.0
fmiss,source_reweighted_fullctx_lightgbm,60,2,0.219513201623944,0.0003446538145338,0.0464591215873841,0.1398713116002674,-0.0111289261093229,8.0
fmiss,source_reweighted_fullctx_lightgbm,107,1,0.1550617785617176,0.0,0.474206915347942,0.0,-0.0217177974384144,14.0
fpos,contextual_paired_only_lightgbm,20,2,0.2782241123235295,0.0819662427982316,-1.0123677854611188,0.4339662174003018,0.0544739166445026,3.0
fpos,contextual_paired_only_lightgbm,60,2,0.1650246797765578,0.00868169555344,0.1939244309150541,0.0243988730182592,0.0334181606311279,8.0
fpos,contextual_paired_only_lightgbm,107,1,0.1272991702367166,0.0,0.4873382325427878,0.0,-0.0444396585102264,14.0
fpos,embed_nommd_fullctx_lightgbm_filtered,20,2,0.2782241123235295,0.0819662427982316,-1.0123677854611188,0.4339662174003018,0.0544739166445026,3.0
fpos,embed_nommd_fullctx_lightgbm_filtered,60,2,0.1677740049196691,0.0071938876122822,0.1852781954646964,0.0109742461581799,0.0328831682338307,8.0
fpos,embed_nommd_fullctx_lightgbm_filtered,107,1,0.1321905568134647,0.0,0.4562687277122433,0.0,-0.0404013131341968,14.0
