iter	Passed	Remaining
482	690	738
483	691	737
484	692	735
485	693	733
486	695	732
487	696	730
488	698	730
489	699	728
490	701	726
491	702	725
492	703	723
493	705	722
494	707	722
495	709	720
496	710	719
497	712	717
498	713	716
499	715	715
500	716	713
501	718	712
502	720	711
503	721	709
504	722	708
505	724	706
506	725	705
507	726	703
508	727	702
509	729	700
510	730	699
511	731	697
512	733	695
513	734	694
514	735	692
515	736	691
516	738	689
517	739	688
518	740	686
519	742	685
520	743	683
521	744	681
522	746	680
523	747	679
524	748	677
525	750	676
526	752	675
527	753	673
528	755	672
529	756	670
530	757	669
531	759	667
532	760	666
533	761	664
534	763	663
535	764	661
536	765	659
537	766	658
538	767	656
539	769	655
540	770	653
541	771	652
542	773	650
543	774	649
544	776	648
545	778	647
546	779	645
547	780	644
548	782	642
549	783	641
550	784	639
551	786	637
552	787	636
553	788	634
554	789	633
555	791	631
556	792	630
557	793	628
558	795	627
559	797	626
560	799	625
561	800	623
562	801	622
563	802	620
564	804	619
565	805	618
566	807	616
567	808	614
568	809	613
569	811	611
570	812	610
571	814	609
572	815	607
573	817	606
574	819	605
575	820	603
576	822	602
577	823	601
578	824	599
579	826	598
580	827	596
581	829	595
582	830	594
583	832	592
584	833	591
585	834	589
586	836	588
587	837	586
588	838	585
589	840	584
590	841	582
591	843	581
592	844	579
593	845	578
594	847	577
595	849	575
596	850	574
597	852	572
598	853	571
599	854	569
600	856	568
601	858	567
602	859	565
603	860	564
604	862	562
605	864	561
606	865	560
607	866	558
608	868	557
609	869	555
610	870	554
611	872	552
612	873	551
613	875	550
614	876	548
615	878	547
616	879	545
617	880	544
618	882	542
619	884	541
620	885	540
621	886	538
622	888	537
623	889	535
624	891	534
625	892	533
626	894	532
627	896	530
628	897	529
629	898	527
630	900	526
631	901	524
632	903	523
633	905	522
634	906	521
635	907	519
636	909	518
637	910	516
638	912	515
639	913	514
640	915	512
641	916	511
642	917	509
643	919	508
644	921	507
645	923	505
646	924	504
647	926	503
648	927	501
649	928	500
650	929	498
651	931	497
652	932	495
653	933	494
654	935	492
655	937	491
656	938	489
657	939	488
658	941	486
659	942	485
660	944	484
661	945	482
662	947	481
663	949	480
664	950	479
665	952	477
666	953	476
667	955	475
668	958	474
669	960	473
670	962	471
671	963	470
672	965	468
673	966	467
674	967	466
675	970	464
676	971	463
677	972	461
678	974	460
679	976	459
680	977	457
681	978	456
682	980	454
683	982	453
684	983	452
685	984	450
686	986	449
687	987	447
688	988	446
689	990	445
690	991	443
691	994	442
692	995	441
693	997	439
694	998	438
695	1000	436
696	1001	435
697	1003	434
698	1004	432
699	1007	431
700	1008	430
701	1010	428
702	1011	427
703	1012	425
704	1014	424
705	1015	423
706	1017	421
707	1018	420
708	1020	418
709	1021	417
710	1023	416
711	1024	414
712	1027	413
713	1028	412
714	1030	410
715	1031	409
716	1032	407
717	1034	406
718	1035	404
719	1036	403
720	1038	401
721	1040	400
722	1042	399
723	1043	397
724	1045	396
725	1047	395
726	1050	394
727	1051	392
728	1053	391
729	1054	389
730	1056	388
731	1057	387
732	1058	385
733	1061	384
734	1062	383
735	1064	381
736	1065	380
737	1066	378
738	1068	377
739	1070	376
740	1071	374
741	1073	373
742	1074	371
743	1076	370
744	1078	369
745	1079	367
746	1080	366
747	1082	364
748	1083	363
749	1085	361
750	1086	360
751	1088	358
752	1089	357
753	1091	355
754	1092	354
755	1094	353
756	1096	351
757	1099	351
758	1100	349
759	1102	348
760	1104	346
761	1105	345
762	1107	343
763	1108	342
764	1109	340
765	1111	339
766	1113	338
767	1114	336
768	1115	335
769	1116	333
770	1118	332
771	1119	330
772	1120	329
773	1122	327
774	1124	326
775	1125	324
776	1126	323
777	1128	321
778	1129	320
779	1130	318
780	1132	317
781	1133	315
782	1134	314
783	1137	313
784	1138	311
785	1139	310
786	1141	308
787	1142	307
788	1143	305
789	1144	304
790	1146	302
791	1147	301
792	1148	299
793	1149	298
794	1151	297
795	1153	295
796	1154	294
797	1155	292
798	1156	291
799	1158	289
800	1160	288
801	1161	286
802	1162	285
803	1163	283
804	1165	282
805	1166	280
806	1168	279
807	1170	278
808	1173	276
809	1175	275
810	1176	274
811	1177	272
812	1179	271
813	1180	269
814	1181	268
815	1182	266
816	1184	265
817	1186	264
818	1189	262
819	1191	261
820	1193	260
821	1194	258
822	1195	257
823	1196	255
824	1198	254
825	1199	252
826	1201	251
827	1203	249
828	1204	248
829	1205	246
830	1207	245
831	1208	243
832	1209	242
833	1210	240
834	1212	239
835	1214	238
836	1215	236
837	1217	235
838	1218	233
839	1220	232
840	1221	230
841	1222	229
842	1224	227
843	1225	226
844	1226	225
845	1227	223
846	1229	222
847	1231	220
848	1232	219
849	1234	217
850	1236	216
851	1238	215
852	1239	213
853	1240	212
854	1242	210
855	1244	209
856	1246	207
857	1248	206
858	1249	205
859	1251	203
860	1253	202
861	1255	200
862	1257	199
863	1258	198
864	1260	196
865	1261	195
866	1262	193
867	1265	192
868	1267	191
869	1268	189
870	1270	188
871	1272	186
872	1273	185
873	1275	183
874	1276	182
875	1278	180
876	1279	179
877	1280	177
878	1282	176
879	1283	175
880	1285	173
881	1286	172
882	1287	170
883	1289	169
884	1290	167
885	1291	166
886	1292	164
887	1294	163
888	1295	161
889	1296	160
890	1297	158
891	1299	157
892	1300	155
893	1301	154
894	1303	152
895	1304	151
896	1305	149
897	1307	148
898	1308	146
899	1310	145
900	1311	144
901	1312	142
902	1313	141
903	1315	139
904	1317	138
905	1318	136
906	1319	135
907	1321	133
908	1323	132
909	1324	130
910	1325	129
911	1327	128
912	1328	126
913	1330	125
914	1331	123
915	1332	122
916	1334	120
917	1336	119
918	1338	117
919	1340	116
920	1341	115
921	1343	113
922	1345	112
923	1346	110
924	1348	109
925	1349	107
926	1352	106
927	1354	105
928	1356	103
929	1358	102
930	1359	100
931	1361	99
932	1362	97
933	1365	96
934	1366	95
935	1368	93
936	1369	92
937	1371	90
938	1373	89
939	1375	87
940	1377	86
941	1378	84
942	1379	83
943	1381	81
944	1383	80
945	1385	79
946	1386	77
947	1387	76
948	1389	74
949	1391	73
950	1392	71
951	1393	70
952	1395	68
953	1397	67
954	1399	65
955	1400	64
956	1402	63
957	1403	61
958	1405	60
959	1407	58
960	1409	57
961	1411	55
962	1413	54
963	1415	52
964	1417	51
965	1419	49
966	1420	48
967	1423	47
968	1424	45
969	1425	44
970	1427	42
971	1428	41
972	1431	39
973	1432	38
974	1434	36
975	1436	35
976	1438	33
977	1439	32
978	1441	30
979	1443	29
980	1444	27
981	1446	26
982	1447	25
983	1449	23
984	1450	22
985	1452	20
986	1454	19
987	1456	17
988	1457	16
989	1459	14
990	1460	13
991	1462	11
992	1463	10
993	1465	8
994	1466	7
995	1467	5
996	1469	4
997	1471	2
998	1472	1
999	1474	0
