iter	RMSE
0	0.2868799438
1	0.2825392383
2	0.2758382803
3	0.2709821008
4	0.2663678304
5	0.260968316
6	0.2561114174
7	0.2511345297
8	0.2460582725
9	0.2407265182
10	0.2357761666
11	0.2318655015
12	0.2275655595
13	0.2233391235
14	0.2199539442
15	0.2152901402
16	0.2111584278
17	0.2071544036
18	0.2034487599
19	0.1997661868
20	0.1962350888
21	0.1922220254
22	0.1885002589
23	0.1848265235
24	0.1825123082
25	0.178648864
26	0.1753151388
27	0.1722107016
28	0.1687124438
29	0.1659114816
30	0.1632634896
31	0.160304106
32	0.1570259607
33	0.153992238
34	0.1513746229
35	0.1490107613
36	0.1461643082
37	0.1440708942
38	0.1426212119
39	0.1402898084
40	0.1378183912
41	0.1353997224
42	0.1333713013
43	0.1307540253
44	0.1287633649
45	0.1261033594
46	0.1238614871
47	0.1217109281
48	0.1190772031
49	0.1174502913
50	0.1155563081
51	0.1142871805
52	0.1130945832
53	0.1118898475
54	0.1104214448
55	0.1079522934
56	0.1059736848
57	0.1045758684
58	0.1026942861
59	0.1011025606
60	0.09944910883
61	0.09809742998
62	0.09650803319
63	0.09521434205
64	0.09344994027
65	0.09231706314
66	0.09095817114
67	0.08969473016
68	0.08882307634
69	0.08732717554
70	0.08633369642
71	0.08531030806
72	0.08426988133
73	0.08272739564
74	0.08173443747
75	0.08072505974
76	0.0792798363
77	0.07827683415
78	0.07701994412
79	0.07584179206
80	0.07481541263
81	0.07384926836
82	0.07291796202
83	0.07164969675
84	0.07057388691
85	0.06979277597
86	0.06862877988
87	0.06742216998
88	0.06642602229
89	0.06560553044
90	0.06432004913
91	0.06342076505
92	0.06237953222
93	0.0615818684
94	0.06042472628
95	0.05946655638
96	0.05883369913
97	0.05789106896
98	0.05714963688
99	0.05618849059
100	0.05515686589
101	0.05422425863
102	0.05320630285
103	0.05211612873
104	0.05128651741
105	0.05049577989
106	0.04969927845
107	0.0491194448
108	0.048411657
109	0.04791697175
110	0.04715705318
111	0.04663215255
112	0.04603417348
113	0.04532448805
114	0.04434374918
115	0.04370357581
116	0.043186052
117	0.04233333654
118	0.04164297823
119	0.04081623799
120	0.03999868739
121	0.0394783109
122	0.03912576698
123	0.03841968455
124	0.0378862135
125	0.03740008638
126	0.03672811333
127	0.03621974622
128	0.03569734227
129	0.03520479585
130	0.03463404767
131	0.0342239922
132	0.03370570381
133	0.033355516
134	0.03296701136
135	0.03248034001
136	0.03192677851
137	0.03157472846
138	0.0312961538
139	0.03083711963
140	0.03044796677
141	0.0300107753
142	0.02959303426
143	0.02928349662
144	0.02882841455
145	0.02838481596
146	0.02807269702
147	0.02781728714
148	0.02735451485
149	0.02717346088
150	0.02683857897
151	0.02643383991
152	0.02624645787
153	0.02604436219
154	0.02574526995
155	0.02537438096
156	0.02495882334
157	0.02458918337
158	0.02426352855
159	0.02397769697
160	0.02373648097
161	0.02338122731
162	0.02298958918
163	0.02266974173
164	0.02240610389
165	0.02206560599
166	0.02171617137
167	0.02146233565
168	0.0212143699
169	0.02083268497
170	0.02064039557
171	0.02037595045
172	0.02008890834
173	0.01985548271
174	0.0196160675
175	0.01945715892
176	0.01912319594
177	0.01894217243
178	0.01874073016
179	0.01857889475
180	0.01834362621
181	0.01818417094
182	0.01804176607
183	0.0178504718
184	0.01760358034
185	0.01749438789
186	0.01728172316
187	0.01709672949
188	0.01693171965
189	0.01671629687
190	0.01652390775
191	0.01626306484
192	0.0161025731
193	0.01590709234
194	0.01579171349
195	0.01554021225
196	0.01536091673
197	0.01517256501
198	0.01499267275
199	0.01478147142
200	0.01462707559
201	0.01443419082
202	0.01435314462
203	0.01421418267
204	0.01397788878
205	0.01376321975
206	0.01358559337
207	0.01342705779
208	0.01330995491
209	0.01317477736
210	0.01300147603
211	0.01289150213
212	0.01270524254
213	0.01256812316
214	0.01238221729
215	0.0121985837
216	0.01203980067
217	0.01189600861
218	0.01173200156
219	0.01161589638
220	0.01147550262
221	0.01132556719
222	0.01114413647
223	0.01100769671
224	0.01087792073
225	0.010710217
226	0.01063586081
227	0.01050051071
228	0.01037761673
229	0.01029440486
230	0.01026137225
231	0.01017507861
232	0.01005712062
233	0.009944931694
234	0.009832457618
235	0.009804328148
236	0.009703891384
237	0.009618757972
238	0.009501672032
239	0.009371833997
240	0.00927772451
241	0.009201987978
242	0.009067879025
243	0.009029798602
244	0.009002987883
245	0.008901672895
246	0.008787587246
247	0.008660165842
248	0.00853884492
249	0.008441145709
250	0.008380988254
251	0.008334490194
252	0.008308980162
253	0.00820896644
254	0.008115625184
255	0.008010496708
256	0.007989273328
257	0.007926746205
258	0.007816431148
259	0.007745738152
260	0.007667105787
261	0.007603944499
262	0.00748242667
263	0.007396799503
264	0.007377578
265	0.007321582157
266	0.00730331233
267	0.007223880677
268	0.007195175742
269	0.007080467524
270	0.007017149377
271	0.00691224576
272	0.006837645345
273	0.00681653216
274	0.006722256532
275	0.006653008916
276	0.006637467051
277	0.006571094476
278	0.006477749764
279	0.006399728465
280	0.006347933439
281	0.006292315825
282	0.006248172378
283	0.006164034292
284	0.006105713785
285	0.006028658942
286	0.005968627601
287	0.005943889754
288	0.005928731257
289	0.005854378553
290	0.005764698429
291	0.005688526237
292	0.00564665716
293	0.005587243213
294	0.005508628826
295	0.005435866195
296	0.005412124533
297	0.005345121841
298	0.005294203547
299	0.005232953287
300	0.005193868395
301	0.005161398672
302	0.00514780385
303	0.005119519238
304	0.005035838952
305	0.004993833351
306	0.004983180887
307	0.004974701654
308	0.004945149216
309	0.004867734651
310	0.004807968084
311	0.004739591388
312	0.00467154863
313	0.004611984185
314	0.004580703902
315	0.004526379353
316	0.004471378663
317	0.004459614141
318	0.004413534656
319	0.004399384145
320	0.004371262241
321	0.004324984838
322	0.004269058331
323	0.004238732094
324	0.004203323342
325	0.004137294689
326	0.004104478251
327	0.004068312067
328	0.004021770752
329	0.004003000068
330	0.003975544534
331	0.003931968827
332	0.003876951889
333	0.003827931331
334	0.003801394839
335	0.003754156207
336	0.003713185002
337	0.003676231523
338	0.003636436903
339	0.003623753418
340	0.003581010361
341	0.00352924413
342	0.003482329328
343	0.003449781965
344	0.003395693097
345	0.003358011874
346	0.003322206704
347	0.003271951964
348	0.00322467655
349	0.003208581987
350	0.003173348703
351	0.003152897001
352	0.003107864199
353	0.003098467259
354	0.003061121863
355	0.003019646688
356	0.003007023232
357	0.002987510566
358	0.002943435108
359	0.002917989921
360	0.002889583923
361	0.002870226265
362	0.002831495845
363	0.002800057096
364	0.002769635752
365	0.002735814107
366	0.002724939065
367	0.002712112837
368	0.002677245243
369	0.002668269193
370	0.002644112892
371	0.002621916895
372	0.002613644072
373	0.002584218535
374	0.002548213637
375	0.002519974487
376	0.002513629258
377	0.002503860166
378	0.002469941784
379	0.00244270522
380	0.002419793313
381	0.002389200467
382	0.002353658775
383	0.002326298846
384	0.002301679619
385	0.002275789513
386	0.002253055685
387	0.002232137606
388	0.002213577534
389	0.002206179333
390	0.002199703283
391	0.002179003296
392	0.002159698085
393	0.002134980291
394	0.002111655793
395	0.00208506183
396	0.002079697307
397	0.002056131814
398	0.002048749348
399	0.002036837685
400	0.002031193038
401	0.002001171181
402	0.001996533546
403	0.001981153988
404	0.001959059245
405	0.001942690846
406	0.001922477124
407	0.00190949508
408	0.001896098119
409	0.001892473243
410	0.001870144575
411	0.001858638409
412	0.001843844158
413	0.001830237475
414	0.001816400394
415	0.001795553207
416	0.001774938727
417	0.001752645371
418	0.001735552175
419	0.001713168179
420	0.001692425033
421	0.001687646367
422	0.001667894559
423	0.00166313786
424	0.001647709925
425	0.001630815977
426	0.001608442553
427	0.001585758943
428	0.00157058999
429	0.001550835392
430	0.001531864826
431	0.001515908877
432	0.001502788247
433	0.001485677589
434	0.001473730951
435	0.001464660779
436	0.001450422016
437	0.001429705
438	0.001410127582
439	0.001393154591
440	0.001379074595
441	0.001361761931
442	0.001349229011
443	0.001329448437
444	0.001320336246
445	0.001305662159
446	0.001298892837
