recording_key,Context stack,Family-balanced,Paired context,Pseudo+anchor,Waveform winner
PAIRED_BOYDEN::paired_boyden32c::1103_1_1,0.3147999034000356,-0.48829325508928556,-3.1769075312096664,0.4033973476965367,0.49585886304398386
PAIRED_BOYDEN::paired_boyden32c::419_1_8,0.669639805027533,0.3939430446297677,-0.050128694980345445,0.26425359212347355,0.25311394050866043
PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.002,0.057406943191357085,0.0523299507273699,-0.03224834134145227,0.003816144742151306,0.07056300502213297
PAIRED_ENGLISH::paired_english::m139_200114_191955,-6.184278642212946,-4.812620939135546,-5.01556707486879,-3.7719905076238494,-3.149279517605721
PAIRED_ENGLISH::paired_english::m139_200114_222743,-1.4710603588790367,-1.4102359178633654,-1.419613362363902,-0.7771011699423691,-1.0757269431562415
PAIRED_ENGLISH::paired_english::m14_190326_155432,-0.5252413067762991,0.5945010457194129,0.8357006455741196,0.701098745686224,-0.3890538273738742
PAIRED_ENGLISH::paired_english::m15_190315_142052_cell1,-0.21146884987675052,-0.1221783883039933,0.03290758111510228,0.10195988142763912,0.10710187681200545
PAIRED_ENGLISH::paired_english::m15_190315_152315_cell1,0.737507243365439,0.5522554344012938,0.6433593741578054,0.5127013095055275,0.4912760034406025
PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,-0.5834112268457674,-1.556745973304397,-0.16673543377369393,-2.071801028681879,-1.1203691723244638
PAIRED_ENGLISH::paired_english::m57_191105_141906,-1.681221209682438,-0.8530993564459421,-2.775508401215724,-1.1781959835848008,-0.5873127015252737
PAIRED_ENGLISH::paired_english::m57_191105_160026,0.20500115364663118,0.2045025323065941,0.021052277677524378,0.20582610729878015,0.2532586958842067
PAIRED_KAMPFF::paired_kampff::c14,0.6574689717724497,0.6005297770019262,0.5833941937834566,0.6915890660592777,0.6570321911627341
PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch1,0.9433627129998541,0.6831717857329946,0.6827060173380222,0.7018161219658421,0.7466507288090538
PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch2,0.3257219531724276,-0.4303204488543626,-0.041977104579482116,-0.2937786247771952,0.07256313383025659
