model,protocol,r2,mae,delta_r2_vs_recording,delta_mae_vs_recording
Waveform winner,recording_disjoint_main,0.5331891877732409,0.1160615450398521,0.0,0.0
Waveform winner,family_disjoint_lofo,0.4385676390635004,0.1221894566097254,-0.09462154870974049,0.006127911569873301
