recipe_id,label,recording_key,row_count,mae,rmse,r2,bias
fpos_paired_context,Paired-only context,PAIRED_BOYDEN::paired_boyden32c::1103_1_1,10,0.12127881264727317,0.16086989477353145,-3.1769075312096664,0.10182663945354165
fpos_paired_context,Paired-only context,PAIRED_BOYDEN::paired_boyden32c::419_1_8,11,0.05783760525944337,0.06847222121012111,-0.050128694980345445,-0.052214685219538134
fpos_paired_context,Paired-only context,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.001,1,0.32154028359788356,0.32154028359788356,,-0.32154028359788356
fpos_paired_context,Paired-only context,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.002,8,0.1393081216588678,0.1897178950277673,-0.03224834134145227,-0.011070521503161967
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m139_200114_191955,3,0.3078296299022656,0.3159628999655806,-5.01556707486879,-0.3078296299022656
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m139_200114_222743,7,0.1429877923211985,0.15302491721636235,-1.419613362363902,0.1429877923211985
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m14_190326_155432,3,0.02762451601559023,0.03250103340714793,0.8357006455741196,0.02534675293913763
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m15_190315_142052_cell1,6,0.26615324676118685,0.2962684368453322,0.03290758111510228,-0.0915462472531437
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m15_190315_152315_cell1,6,0.1259375135668204,0.18615176917299026,0.6433593741578054,-0.01212383394017405
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,3,0.15586448105157852,0.18218166549228382,-0.16673543377369393,-0.15586448105157852
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m57_191105_141906,6,0.08392524896540317,0.11252523567425826,-2.775508401215724,0.014002396572902046
fpos_paired_context,Paired-only context,PAIRED_ENGLISH::paired_english::m57_191105_160026,10,0.26326173438510525,0.2943273378797577,0.021052277677524378,-0.08789522861648771
fpos_paired_context,Paired-only context,PAIRED_KAMPFF::paired_kampff::c14,6,0.12530709865375028,0.14441247056254167,0.5833941937834566,-0.12530709865375028
fpos_paired_context,Paired-only context,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch1,9,0.04311207174576302,0.07284791710786281,0.6827060173380222,-0.002401125962039536
fpos_paired_context,Paired-only context,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch2,11,0.08143620265809665,0.10285976184616152,-0.041977104579482116,-0.08143620265809665
fpos_context_stack,Context-first source stack,PAIRED_BOYDEN::paired_boyden32c::1103_1_1,10,0.05654659687696506,0.06515624610714695,0.3147999034000356,0.01842611545354165
fpos_context_stack,Context-first source stack,PAIRED_BOYDEN::paired_boyden32c::419_1_8,11,0.024569243754248682,0.03840493287604949,0.669639805027533,-0.015408287310447223
fpos_context_stack,Context-first source stack,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.001,1,0.3707581835978836,0.3707581835978836,,-0.3707581835978836
fpos_context_stack,Context-first source stack,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.002,8,0.11244771428386782,0.18129186585030876,0.057406943191357085,-0.047298348378161964
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH::paired_english::m139_200114_191955,3,0.3242768532355989,0.34529428347300284,-6.184278642212946,-0.3242768532355989
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH::paired_english::m139_200114_222743,7,0.13168161517834137,0.15464320537535878,-1.4710603588790367,0.13168161517834137
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH::paired_english::m14_190326_155432,3,0.0655418616822569,0.09902583674549248,-0.5252413067762991,0.06420128327247097
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH::paired_english::m15_190315_142052_cell1,6,0.2805142400945201,0.3315946557919645,-0.21146884987675052,-0.12555689391981037
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH::paired_english::m15_190315_152315_cell1,6,0.1373577207334871,0.15970202513296824,0.737507243365439,0.03951057989315926
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,3,0.17392345438491186,0.21223418318267964,-0.5834112268457674,-0.17392345438491186
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH::paired_english::m57_191105_141906,6,0.08545559066265086,0.09482624072566195,-1.681221209682438,-0.0651583017604313
fpos_context_stack,Context-first source stack,PAIRED_ENGLISH::paired_english::m57_191105_160026,10,0.2527034293851052,0.2652369965353938,0.20500115364663118,-0.05029421761648771
fpos_context_stack,Context-first source stack,PAIRED_KAMPFF::paired_kampff::c14,6,0.10770907523269768,0.1309459279838214,0.6574689717724497,-0.10254448798708361
fpos_context_stack,Context-first source stack,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch1,9,0.026078710745763022,0.030777790685014184,0.9433627129998541,0.010711059704627136
fpos_context_stack,Context-first source stack,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch2,11,0.06809441072836517,0.08274389039019728,0.3257219531724276,-0.063444696221733
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_BOYDEN::paired_boyden32c::1103_1_1,10,0.04631721604727317,0.06079809017332623,0.4033973476965367,-0.0005043539464583468
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_BOYDEN::paired_boyden32c::419_1_8,11,0.042819872532170636,0.057313539342883864,0.26425359212347355,-0.04175666158317449
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.001,1,0.4987439535978836,0.4987439535978836,,-0.4987439535978836
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.002,8,0.12352817940886783,0.18637426770393473,0.003816144742151306,-0.036853384753161966
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH::paired_english::m139_200114_191955,3,0.27145917656893226,0.2814152251320492,-3.7719905076238494,-0.27145917656893226
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH::paired_english::m139_200114_222743,7,0.10646234924928859,0.13114303871996347,-0.7771011699423691,0.09516165717834135
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH::paired_english::m14_190326_155432,3,0.03464892601559023,0.04383723063982117,0.701098745686224,0.029267000939137634
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH::paired_english::m15_190315_142052_cell1,6,0.23141778374531377,0.28549549914068545,0.10195988142763912,-0.1489210672531437
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH::paired_english::m15_190315_152315_cell1,6,0.14371088190015377,0.2175952364327145,0.5127013095055275,-0.020147575606840728
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,3,0.2398412677182452,0.2956072048922328,-2.071801028681879,-0.2398412677182452
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH::paired_english::m57_191105_141906,6,0.0798605972987365,0.0854694062899507,-1.1781959835848008,-0.02825285509376463
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_ENGLISH::paired_english::m57_191105_160026,10,0.22886210838510518,0.2650993453786468,0.20582610729878015,-0.09863138061648773
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_KAMPFF::paired_kampff::c14,6,0.10496218365375028,0.12425301104413829,0.6915890660592777,-0.10496218365375028
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch1,9,0.03962794900046031,0.07062009543617122,0.7018161219658421,-0.02006496651759509
fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch2,11,0.08884943258536938,0.11461630726107691,-0.2937786247771952,-0.08884943258536938
fpos_family_balanced,Family-balanced robustness,PAIRED_BOYDEN::paired_boyden32c::1103_1_1,10,0.09144490727696505,0.09602661148045859,-0.48829325508928556,0.059755449053541645
fpos_family_balanced,Family-balanced robustness,PAIRED_BOYDEN::paired_boyden32c::419_1_8,11,0.03951529034050264,0.05201754761552331,0.3939430446297677,-0.03815471985590177
fpos_family_balanced,Family-balanced robustness,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.001,1,0.4682833235978836,0.4682833235978836,,-0.4682833235978836
