study_set,Context stack,Family-balanced,Paired context,Pseudo+anchor,Waveform winner
PAIRED_BOYDEN,0.6476936281774982,0.267649568907934,-0.8634553651239896,0.5611167206129446,0.5922276256007505
PAIRED_CRCNS_HC1,0.47379059080479236,0.36438952755737775,0.48570319484070223,0.3078922743651037,0.35390847052783747
PAIRED_ENGLISH,0.40061202572421684,0.39206942971845304,0.40508811817427137,0.4309079687427111,0.4614404800466213
PAIRED_KAMPFF,0.6574689717724497,0.6005297770019262,0.5833941937834566,0.6915890660592777,0.6570321911627341
PAIRED_MEA64C_YGER,0.6862191270538056,0.22357934844013871,0.3856584089797165,0.2911626195865039,0.4695656456422618
