study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.0583567133324205,0.08253672844755987,0.1410630747114674,-0.05219082570464417,0.7654026290448778,0.0741283197135375
PAIRED_CRCNS_HC1,0.22528616674995652,0.2843750164404648,0.12170948319668462,-0.12341983926112161,1.0816852405590516,0.1064940510504691
PAIRED_ENGLISH,0.11911484892571488,0.17161916309279354,0.2883852933682969,-0.04855457782755382,1.7638526865751742,-0.05472140901304278
PAIRED_KAMPFF,0.08127823239187627,0.1301370721462512,0.683320004802473,-0.05579937548309097,1.3916384378663278,0.0025848497297199817
PAIRED_MEA64C_YGER,0.05449020860570564,0.07904586859425866,0.6557834200533109,-0.02255513501558581,1.5410679368638165,-0.023848113936862366
