study_set,mae,rmse,r2,bias,calibration_slope,calibration_intercept
PAIRED_BOYDEN,0.08811439404800081,0.11879111945004021,-0.27121455298867647,0.08197469045633618,0.6578776545962298,0.015136027405561695
PAIRED_CRCNS_HC1,0.1678291442374844,0.206979321365783,-0.1889531254637098,0.009641898043577535,0.15136254832468024,0.1425685185930519
PAIRED_ENGLISH,0.16300993623578258,0.19309957365907812,0.46590268001662494,0.057201754675866745,1.0763806058735814,-0.08398491836509171
PAIRED_KAMPFF,0.04218552184620598,0.07142146010029723,0.8712096465458972,-0.018295072958712848,1.4384536448364846,-0.03028748477333356
PAIRED_MEA64C_YGER,0.09477125283811379,0.19439209389044906,0.0573880773533505,-0.08567834044661553,1.589504953199267,0.04886429150029456
