protocol_mode,candidate_id,model_family,model_name,feature_view,target,is_ceiling_model,mae,rmse,r2,bias,calibration_slope,calibration_intercept,primary_avg_mae,advances,beats_dummy_all_primary_targets,beats_hybrid_only_all_primary_targets,best_paired_only_primary_avg_mae,beats_best_paired_only
contextual,contextual|context_tabular|catboost|contextual_full,context_tabular,catboost,contextual_full,fmiss,False,0.2265990177603839,0.2726176257292985,0.13366994962542433,-0.014028265641668999,0.8081641747996492,0.06623126186789197,0.1887094626101014,True,True,True,0.19710090246004952,True
contextual,contextual|paired_only|lightgbm|shape_only,paired_only,lightgbm,shape_only,fpos,False,0.14066158316924018,0.18919095489002333,0.430170819224979,-0.02242145177646236,0.9026269566751518,0.04326566540992714,0.19710090246004952,True,True,True,0.19710090246004952,False
inductive,inductive|paired_only|lightgbm|shape_only,paired_only,lightgbm,shape_only,fmiss,False,0.25354022175085883,0.32564537602407767,-0.23613342075066646,-0.06271587260480632,0.1984509882076792,0.24181052493284816,0.19710090246004952,True,True,True,0.19710090246004952,False
inductive,inductive|paired_only|lightgbm|shape_only,paired_only,lightgbm,shape_only,fpos,False,0.14066158316924018,0.18919095489002333,0.430170819224979,-0.02242145177646236,0.9026269566751518,0.04326566540992714,0.19710090246004952,True,True,True,0.19710090246004952,False
