protocol_mode,backend,mae,r2
contextual,lightgbm,0.20661566879259827,0.05153725373699397
contextual,xgboost,0.21969242229584224,-0.1362486298326288
contextual,other,0.23351851807987004,-0.004817192573536855
contextual,catboost,0.25201618709681334,-0.8535649358272842
inductive,lightgbm,0.22756091332228592,-0.4144407815827942
inductive,other,0.23351851807987004,-0.004817192573536855
inductive,catboost,0.2673011188067635,-0.8458053021174535
