protocol,target,variant_id,family,backend,source_target,notes,mae,rmse,r2,bias,calibration_slope,calibration_intercept
main,fpos,source_reweighted_anchor_stack_cluster_trust_pseudo_lightgbm_default,backend_sweep,lightgbm_default,fpos,compact backend sweep with lightgbm_default,0.14824710191247922,0.18361824576067606,0.4717486801311368,0.055336830854013634,0.9844284021641145,-0.050997126739226586
main,fpos,source_reweighted_cluster_trust_pseudo_lightgbm_default,backend_sweep,lightgbm_default,fpos,compact backend sweep with lightgbm_default,0.14858647610768855,0.18799549667060214,0.44626265361415285,0.04741740145307788,0.9574206926942779,-0.0358880263197981
main,fpos,source_reweighted_cluster_trust_pseudo_xgboost_default,backend_sweep,xgboost_default,fpos,compact backend sweep with xgboost_default,0.1466276346973481,0.19221281980989835,0.4211398898909814,0.04202593709860751,0.9201316897308665,-0.02083027156565409
main,fpos,source_reweighted_anchor_stack_cluster_trust_pseudo_xgboost_default,backend_sweep,xgboost_default,fpos,compact backend sweep with xgboost_default,0.1512974021124991,0.19681750053596267,0.3930731547240762,0.061596917217195124,0.899357863564329,-0.03291857295137603
